id,codigo,nombre,nombre_g,reg_sanitario,concentracion,desc_concentracion,presentacion,desc_presentacion,f_farmaceutica,nacionalidad,categoria,proveedor_id,users_id,cajon,estado,created_at,updated_at,proveedor,Actions,user,DT_RowAttr/style
1,sc,ACETAZOLAMIDA 250 Mg COMPRIMIDOS,ACETAZOLAMIDA 250 MG COMPRIMIDOS,NN-23881/2017,250 mg,250,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,12,,eliminado,-0001-11-30 00:00:00,2023-10-02 09:40:15,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(1)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""1""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
1025,s/MED,CLORFENIRAMINA 4 MG COMPRIMIDOS,CLORFENIRAMINA 4 MG COMPRIMIDOS,RS NN-25628/2019,4 mg,4,caja X100 comprimido,X100,comprimido,Bolivia,Fraccionados A menor a 500,1,14,,eliminado,2020-06-15 18:16:00,2025-01-29 09:07:54,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(1025)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""1025""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
2,A-1-2,ACICLOVIR 200 MG. COMPRIMIDOS,ACICLOVIR 200 MG. COMPRIMIDOS,NN-51657/2020,200 mg,200,caja x50 comprimido,x50,comprimido,Bolivia,Fraccionados A menor a 500,1,48,0,eliminado,-0001-11-30 00:00:00,2025-07-09 11:40:59,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(2)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""2""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
3,A-1-3,ACICLOVIR CREMA 5% TUBO 5 GR,ACICLOVIR CREMA 5% TUBO 5 GR,nn-30236/2010,5 gr,5,tubo x1 ,x1,,Bolivia,Fraccionados A menor a 500,1,12,,eliminado,-0001-11-30 00:00:00,2023-08-11 12:39:38,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(3)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""3""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
4,A-1-4,ACIDO NALIDIXICO 500 MG. COMPRIMIDOS,ACIDO NALIDIXICO 500 MG. COMPRIMIDOS,NN-30241/16,500 mg,500,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,12,,activo,-0001-11-30 00:00:00,2022-12-05 20:57:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(4)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""4""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
5,A-1-5,AMBROXOL JARABE 15 MG/5 ML FRASCO 100 ML,AMBROXOL JARABE 15 MG/5 ML FRASCO 100 ML,NN-49366/2013,15/100 mg/ml,15/100,caja x1 frasco,x1,frasco,Bolivia,Fraccionados A menor a 500,1,12,,eliminado,-0001-11-30 00:00:00,2023-05-30 02:41:48,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(5)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""5""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
6,A-1-6,AMBROXOL JARABE 30 MG/5 ML FRASCO 100 ML,AMBROXOL JARABE 30 MG/5 ML FRASCO 100 MLC,NN-49366/2018,30/100 mg/ml,30/100,caja x1 frasco,x1,frasco,Bolivia,Fraccionados A menor a 500,1,12,0,eliminado,-0001-11-30 00:00:00,2023-05-30 02:41:15,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(6)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""6""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
7,A-1-11,AMOXICILINA 1 G (AMOXIMIL) COMPRIMIDOS,AMOXICILINA 1 G (AMOXIMIL) COMPRIMIDOS,NN-33656/2017,1 ml,1,caja x200 comprimido,x200,comprimido,Bolivia,Fraccionados A menor a 500,1,12,,eliminado,-0001-11-30 00:00:00,2023-05-15 22:33:30,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(7)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""7""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
8,A-1-8,AMOXICILINA 250 MG SUSPENSIO FRASCO 100 ML.,AMOXICILINA 250 MG SUSPENSIO FRASCO 100 ML.,NN-19852/2016,250/100 mg/ml,250/100,frasco x 1 ,x 1,,Bolivia,Fraccionados A menor a 500,1,12,,eliminado,-0001-11-30 00:00:00,2023-10-02 09:40:29,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(8)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""8""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
9,A-1-10,AMOXICILINA 500 MG CAPSULAS,AMOXICILINA 500 MG CAPSULAS,NN-19850/2016,500 mg,500,caja x500 comprimido,x500,comprimido,Bolivia,Fraccionados A menor a 500,1,35,,eliminado,-0001-11-30 00:00:00,2024-10-25 16:57:43,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(9)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""9""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",OSMAR MAMANI,background-color:#343a40;color:white; text-transform:uppercase
